# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6719
#@/user_id	winK
a 	阿	c=14 d=1.69988 t=6719
zhan dou 	战斗	c=1 d=0.19593 t=6719
zhan shi 	战士	c=2 d=0.464478 t=6719
zhan yi 	战役	c=1 d=0.00474815 t=6719
zhan yong 	占用	c=1 d=1 t=6391
zhang 	张	c=5 d=0.474365 t=6719
zhang 	章	c=1 d=0.106992 t=6719
zhang hu 	账户	c=6 d=0.139291 t=6719
zhao 	找	c=7 d=1.01368 t=6719
zhao 	照	c=1 d=0.315058 t=6719
zhao bu dao 	找不到	c=5 d=0.726149 t=6719
zhao chu lai 	找出来	c=1 d=0.00170362 t=6719
zhao dao 	找到	c=2 d=0.794534 t=6719
zhao ge 	找个	c=2 d=0.0867261 t=6719
zhao zhao 	找找	c=1 d=0.0685632 t=6719
zhe 	着	c=11 d=0.67032 t=6719
zhe 	这	c=57 d=4.94174 t=6719
zhe bian 	这边	c=5 d=0.0934807 t=6719
zhe bu shi 	这不是	c=1 d=0.697676 t=6719
zhe cai 	这才	c=1 d=1 t=4613
zhe ci 	这次	c=2 d=0.0587185 t=6719
zhe dao 	这倒	c=0 d=0.1 t=5493
zhe dao bu hao shuo 	这倒不好说	c=1 d=1 t=5494
zhe dao shi 	这倒是	c=1 d=0.319819 t=6719
zhe dao ye shi 	这倒也是	c=1 d=1 t=5482
zhe dian 	这点	c=1 d=0.733447 t=6719
zhe dong hua 	这动画	c=1 d=0.265803 t=6719
zhe dou 	这都	c=2 d=0.107598 t=6719
zhe ge 	这个	c=44 d=2.7427 t=6719
zhe ge fan 	这个番	c=1 d=0.774916 t=6719
zhe hai yong 	这还用	c=1 d=0.00151098 t=6719
zhe jiu 	折旧	c=1 d=1 t=4304
zhe jiu shi 	这就是	c=4 d=0.454035 t=6719
zhe ju hua 	这句话	c=2 d=0.00125578 t=6719
zhe li 	这里	c=8 d=0.24236 t=6719
zhe li mian 	这里面	c=1 d=0.900325 t=6719
zhe liang ge 	这两个	c=1 d=0.0072265 t=6719
zhe me 	这么	c=9 d=0.922694 t=6719
zhe me duo 	这么多	c=2 d=0.263468 t=6719
zhe me jiu 	这么久	c=1 d=1 t=6153
zhe qun 	这群	c=1 d=0.100761 t=6719
zhe ren 	这人	c=1 d=0.377192 t=6719
zhe shi 	这是	c=14 d=2.4576 t=6719
zhe shi hou 	这时候	c=2 d=0.114447 t=6719
zhe wan yi 	这玩意	c=3 d=0.0982736 t=6719
zhe wei 	这位	c=2 d=0.621885 t=6719
zhe xia 	这下	c=2 d=0.965605 t=6719
zhe xie 	这些	c=5 d=0.157996 t=6719
zhe yang 	这样	c=25 d=1.98404 t=6719
zhe ying pan 	这硬盘	c=1 d=0.0706512 t=6719
zhe zhang tu 	这张图	c=1 d=1 t=4717
zhe zhong 	这种	c=21 d=1.89028 t=6719
zhen 	真	c=12 d=2.2842 t=6719
zhen de 	真的	c=13 d=0.795602 t=6719
zhen dui 	针对	c=1 d=0.752014 t=6719
zhen rong 	阵容	c=1 d=0.00111936 t=6719
zhen shi 	真是	c=2 d=1.18452 t=5932
zheng 	整	c=3 d=0.0225956 t=6719
zheng 	蒸	c=1 d=1 t=5799
zheng chang 	正常	c=8 d=0.162578 t=6719
zheng ge 	整个	c=1 d=1 t=6345
zheng hao 	正好	c=1 d=0.000982903 t=6719
zheng quan 	证券	c=1 d=0.102797 t=6719
zheng que 	正确	c=2 d=0.103312 t=6719
zheng que de 	正确的	c=1 d=1 t=4456
zhi 	之	c=3 d=0.130029 t=6719
zhi 	值	c=3 d=0.0151463 t=6719
zhi 	只	c=8 d=0.825028 t=6719
zhi 	指	c=1 d=1 t=4916
zhi 	至	c=1 d=1 t=5748
zhi bo 	直播	c=2 d=0.891366 t=6719
zhi bu guo 	只不过	c=2 d=0.680451 t=6719
zhi bu zhi dao 	知不知道	c=1 d=1 t=5663
zhi chi 	支持	c=3 d=1.9815 t=6599
zhi ci 	至此	c=1 d=0.000267872 t=6719
zhi dao 	知道	c=20 d=1.18418 t=6719
zhi ding 	指定	c=9 d=0.995012 t=6719
zhi hou 	之后	c=2 d=0.603506 t=6719
zhi hui 	只会	c=1 d=0.131994 t=6719
zhi ji de 	只记得	c=1 d=0.167797 t=6719
zhi jian 	之间	c=1 d=0.0127147 t=6719
zhi jie 	直接	c=14 d=1.03103 t=6719
zhi jin 	至今	c=1 d=1 t=4438
zhi lei 	之类	c=1 d=0.0407622 t=6719
zhi lian 	直连	c=1 d=1 t=5332
zhi liang 	质量	c=1 d=0.687289 t=6719
zhi ling 	指令	c=1 d=0.0432828 t=6719
zhi liu 	只留	c=1 d=0.0167392 t=6719
zhi lu 	之路	c=1 d=0.0784731 t=6719
zhi lv 	之旅	c=1 d=0.310367 t=6719
zhi neng 	只能	c=3 d=0.307573 t=6719
zhi neng 	智能	c=1 d=0.167797 t=6719
zhi neng shuo 	只能说	c=8 d=0.984407 t=6719
zhi qian 	之前	c=7 d=2.05723 t=6719
zhi ri 	之日	c=1 d=1 t=5679
zhi shao 	至少	c=2 d=1.92312 t=6064
zhi shi 	只是	c=5 d=0.4012 t=6719
zhi suo yi 	之所以	c=1 d=1 t=6715
zhi wai 	之外	c=1 d=0.217621 t=6719
zhi xing 	执行	c=1 d=0.0987662 t=6719
zhi yao 	只要	c=3 d=0.0141931 t=6719
zhi ye 	职业	c=2 d=1.9802 t=6504
zhi you 	只有	c=8 d=1.3374 t=6719
zhi zuo 	制作	c=7 d=0.11235 t=6719
zhong 	中	c=5 d=0.121846 t=6719
zhong 	种	c=4 d=0.194406 t=6719
zhong duan 	中断	c=1 d=0.085435 t=6719
zhong guo 	中国	c=3 d=0.612626 t=6719
zhong guo ren 	中国人	c=1 d=0.000889368 t=6719
zhong jian 	中间	c=1 d=0.0850088 t=6719
zhong jiu 	终究	c=1 d=0.0845849 t=6719
zhong wen 	中文	c=5 d=0.532592 t=6719
zhong yi 	中医	c=1 d=0.0639279 t=6719
zhong yi 	中意	c=1 d=0.0642483 t=6719
zhong yu 	终于	c=1 d=0.0948935 t=6719
zhong zi 	种子	c=2 d=0.000303736 t=6719
zhou bian 	周边	c=1 d=1 t=5049
zhu 	主	c=4 d=0.587736 t=6719
zhu 	住	c=4 d=1.59036 t=6719
zhu 	祝	c=1 d=1 t=6635
zhu bo 	主播	c=3 d=0.053397 t=6719
zhu bu 	逐步	c=1 d=0.250324 t=6719
zhu ce 	注册	c=1 d=0.0685632 t=6719
zhu da 	主打	c=1 d=0.145148 t=6719
zhu ji 	主机	c=3 d=2.43082 t=6155
zhu jue 	主角	c=1 d=0.14808 t=6719
zhu ren gong 	主人公	c=1 d=0.0858632 t=6719
zhu shi 	注释	c=3 d=0.946485 t=6719
zhu yao 	主要	c=1 d=0.00192083 t=6719
zhu yao shi 	主要是	c=4 d=0.86347 t=6719
zhu ye 	主页	c=1 d=1 t=5940
zhu yi 	注意	c=1 d=0.0584257 t=6719
zhu zhi 	主治	c=1 d=0.519442 t=6719
zhu zi 	柱子	c=2 d=0.0147496 t=6719
zhua 	抓	c=1 d=0.00687406 t=6719
zhuan 	专	c=1 d=1 t=5004
zhuan 	撰	c=1 d=1 t=6638
zhuan 	砖	c=1 d=0.913931 t=6719
zhuan 	赚	c=2 d=0.597501 t=6719
zhuan 	转	c=3 d=0.437911 t=6719
zhuan ji 	专辑	c=1 d=1 t=5916
zhuan men 	专门	c=1 d=0.0678809 t=6719
zhuan qian 	赚钱	c=1 d=0.634448 t=6719
zhuan sheng 	转生	c=1 d=0.548812 t=6719
zhuan tou 	转头	c=1 d=0.904837 t=6719
zhuan ye 	专业	c=2 d=1.0002 t=6540
zhuan zhe 	转折	c=1 d=0.00802655 t=6719
zhuang 	装	c=2 d=0.0638556 t=6719
zhuang tai 	状态	c=1 d=0.193013 t=6719
zhuang xiu 	装修	c=2 d=0.667427 t=6719
zhui 	追	c=2 d=0.00296761 t=6719
zhui jia 	追加	c=2 d=0.810584 t=6719
zhui zhe 	追着	c=4 d=0.0129998 t=6719
zi 	子	c=1 d=0.12493 t=6719
zi 	字	c=5 d=0.680451 t=6719
zi 	自	c=1 d=0.913931 t=6719
zi dai 	自带	c=2 d=0.149294 t=6719
zi ding yi 	自定义	c=1 d=1 t=4509
zi dong 	自动	c=5 d=0.961308 t=6719
zi fu 	字符	c=1 d=0.085435 t=6719
zi ji 	自己	c=18 d=1.0101 t=6719
zi ji zi zu 	自给自足	c=2 d=1.43849 t=6719
zi jian 	自建	c=1 d=1 t=5950
zi jie 	字节	c=1 d=1 t=4682
zi jie tiao dong 	字节跳动	c=1 d=1 t=4675
zi li 	资历	c=1 d=1 t=4915
zi liao 	资料	c=1 d=0.000420107 t=6719
zi mei ti 	自媒体	c=1 d=0.101774 t=6719
zi mu 	字幕	c=11 d=7.74166 t=6719
zi qi dong 	自启动	c=1 d=1 t=5685
zi ran 	自然	c=1 d=0.256661 t=6719
zi sha 	自杀	c=1 d=0.00154923 t=6719
zi shi 	姿势	c=2 d=0.600341 t=6719
zi ti 	字体	c=2 d=0.0377587 t=6719
zi wai 	紫外	c=1 d=0.216536 t=6719
zi xi 	仔细	c=1 d=1 t=4392
zi xing 	自行	c=3 d=0.942405 t=6719
zi you 	自由	c=1 d=1 t=4423
zi yuan 	资源	c=5 d=0.0368747 t=6719
zong gong 	总共	c=1 d=0.458406 t=6719
zong he 	综合	c=1 d=0.0997588 t=6719
zong he can shu 	综合参数	c=1 d=0.142987 t=6719
zong jian 	总监	c=1 d=0.0323869 t=6719
zong jie 	总结	c=1 d=0.0439369 t=6719
zou 	走	c=3 d=0.118245 t=6719
zu 	族	c=1 d=0.0645703 t=6719
zu 	组	c=2 d=0.0309618 t=6719
zu gou 	足够	c=1 d=1 t=6167
zu jian 	组件	c=2 d=0.898703 t=6719
zu wang 	组网	c=2 d=1.90937 t=5493
zu yi 	足以	c=1 d=0.0581343 t=6719
zui 	嘴	c=1 d=0.0376283 t=6719
zui 	最	c=2 d=0.563251 t=6719
zui da 	最大	c=2 d=1.07654 t=6561
zui di 	最低	c=1 d=0.0761538 t=6719
zui hao 	最好	c=3 d=1.12598 t=5616
zui hou 	最后	c=2 d=0.163654 t=6719
zui jin 	最近	c=2 d=0.511709 t=6719
zui xin 	最新	c=2 d=0.0401553 t=6719
zui yin 	最阴	c=1 d=0.173774 t=6719
zun xun 	遵循	c=1 d=1 t=5118
zun zhong 	尊重	c=1 d=1 t=6562
zuo 	作	c=3 d=0.0291979 t=6719
zuo 	做	c=11 d=0.937341 t=6719
zuo bian 	左边	c=4 d=0.565525 t=6719
zuo bu dao 	做不到	c=1 d=0.737123 t=6719
zuo chu lai 	做出来	c=1 d=1 t=5507
zuo dao 	做到	c=2 d=0.126186 t=6719
zuo de 	做的	c=1 d=0.451581 t=6719
zuo guo 	做过	c=1 d=1 t=6148
zuo hua 	作画	c=1 d=0.000531398 t=6719
zuo pin 	作品	c=5 d=0.480239 t=6719
zuo wan 	昨晚	c=1 d=0.00625109 t=6719
zuo wei 	作为	c=1 d=1 t=5241
zuo xia qu 	做下去	c=1 d=0.644036 t=6719
zuo yong 	作用	c=1 d=0.0169922 t=6719
zuo zhe 	作者	c=2 d=1.00835 t=5411
